epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5909,1.29613,1.30615,1.09635,0.00061,0.1082,0.00037,0.00015,3.8338,inf,20.8631,0.000472931,0.000472931,0.000472931
2,88.797,1.35133,1.02277,1.10385,0.68906,0.49285,0.52512,0.28324,1.57346,1.59279,1.465,0.000939867,0.000939867,0.000939867
3,131.167,1.27796,0.90608,1.07336,0.58803,0.42933,0.4592,0.23451,1.90937,1.79476,1.67899,0.00139737,0.00139737,0.00139737
4,172.347,1.26564,0.89118,1.06206,0.71816,0.56057,0.6401,0.33716,1.56329,1.45231,1.43101,0.00138656,0.00138656,0.00138656
5,214.365,1.15024,0.7656,1.02793,0.7544,0.55932,0.64776,0.35665,1.49375,1.45371,1.41254,0.00137241,0.00137241,0.00137241
6,256.127,1.12257,0.72631,1.02143,0.70286,0.65258,0.65082,0.36758,1.42219,1.17106,1.33091,0.00135826,0.00135826,0.00135826
7,297.986,1.0531,0.67834,0.99477,0.74875,0.65761,0.72128,0.40344,1.41145,0.97723,1.33407,0.00134412,0.00134412,0.00134412
8,339.865,1.01735,0.64393,0.98982,0.79384,0.66917,0.74531,0.42149,1.41914,0.8842,1.31585,0.00132997,0.00132997,0.00132997
9,381.806,0.99515,0.6259,0.98069,0.78482,0.69502,0.75189,0.43195,1.35185,0.88349,1.28332,0.00131582,0.00131582,0.00131582
10,423.654,0.94958,0.5926,0.96773,0.82819,0.68357,0.77998,0.44063,1.36805,0.87206,1.26811,0.00130168,0.00130168,0.00130168
11,465.671,0.93646,0.57348,0.96894,0.75752,0.70183,0.73404,0.41899,1.33228,0.8523,1.26751,0.00128753,0.00128753,0.00128753
12,506.864,0.92179,0.57553,0.9612,0.80267,0.73063,0.77512,0.44695,1.3199,0.80021,1.25455,0.00127338,0.00127338,0.00127338
13,548.841,0.87923,0.54355,0.95308,0.81293,0.72396,0.7805,0.45106,1.35129,0.90118,1.25467,0.00125923,0.00125923,0.00125923
14,590.633,0.87209,0.53803,0.94846,0.84642,0.7365,0.80959,0.46738,1.36815,0.8046,1.33552,0.00124509,0.00124509,0.00124509
15,632.395,0.84362,0.52676,0.94085,0.81009,0.70829,0.78108,0.45015,1.34512,0.80584,1.25387,0.00123094,0.00123094,0.00123094
16,673.608,0.84393,0.51781,0.9454,0.78971,0.73594,0.79906,0.48013,1.29368,0.77607,1.24239,0.00121679,0.00121679,0.00121679
17,715.532,0.82263,0.50787,0.93775,0.78691,0.74719,0.80845,0.47908,1.25721,0.7431,1.22591,0.00120265,0.00120265,0.00120265
18,757.357,0.81407,0.50177,0.93319,0.77829,0.77873,0.80268,0.46741,1.26586,0.74623,1.21096,0.0011885,0.0011885,0.0011885
