epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.055,1.2556,1.30071,1.0704,0.08423,0.17962,0.08665,0.03963,1.79034,inf,1.76783,0.000472931,0.000472931,0.000472931
2,61.9428,1.27029,0.8973,1.04925,0.65817,0.53312,0.60528,0.33347,1.59263,1.54428,1.40915,0.000939867,0.000939867,0.000939867
3,90.4322,1.22576,0.84263,1.02808,0.64999,0.50019,0.56946,0.30145,1.57682,1.63295,1.44626,0.00139737,0.00139737,0.00139737
4,119.015,1.22248,0.83453,1.02338,0.68947,0.49105,0.56559,0.29351,1.6024,1.44481,1.41112,0.00138656,0.00138656,0.00138656
5,147.923,1.16741,0.76536,1.00794,0.8019,0.58878,0.68496,0.38599,1.4303,1.20082,1.32278,0.00137241,0.00137241,0.00137241
6,177.304,1.12316,0.72788,0.99831,0.75466,0.68416,0.724,0.41333,1.39389,1.03222,1.26799,0.00135826,0.00135826,0.00135826
7,206.82,1.05884,0.68293,0.9758,0.74989,0.6743,0.73223,0.41223,1.40779,1.00606,1.29608,0.00134412,0.00134412,0.00134412
8,236.385,1.02421,0.64851,0.96546,0.75492,0.74552,0.77559,0.4451,1.35806,0.87518,1.24736,0.00132997,0.00132997,0.00132997
9,266.321,1.01118,0.63343,0.95881,0.75265,0.73642,0.78318,0.45381,1.36639,0.84594,1.25538,0.00131582,0.00131582,0.00131582
10,296.677,0.9792,0.60538,0.95575,0.81468,0.66906,0.73748,0.41861,1.39789,0.91249,1.28281,0.00130168,0.00130168,0.00130168
11,327.038,0.95616,0.59216,0.95315,0.81807,0.7113,0.77137,0.45047,1.33763,0.82254,1.25224,0.00128753,0.00128753,0.00128753
12,357.103,0.93326,0.58087,0.9413,0.74664,0.7332,0.7552,0.4428,1.32492,0.82538,1.22791,0.00127338,0.00127338,0.00127338
13,387.166,0.91074,0.56301,0.93925,0.81415,0.71621,0.79962,0.46494,1.31689,0.81097,1.20863,0.00125923,0.00125923,0.00125923
14,417.835,0.89503,0.55162,0.92913,0.77408,0.74043,0.7872,0.46106,1.38043,0.85183,1.32062,0.00124509,0.00124509,0.00124509
15,448.177,0.8729,0.53028,0.92524,0.78394,0.74532,0.7927,0.47439,1.29056,0.79259,1.20918,0.00123094,0.00123094,0.00123094
16,479.063,0.8608,0.52783,0.9272,0.80042,0.73866,0.79861,0.47983,1.24894,0.76804,1.19144,0.00121679,0.00121679,0.00121679
17,509.772,0.8393,0.51489,0.92157,0.79987,0.77987,0.81726,0.4934,1.28263,0.72557,1.19973,0.00120265,0.00120265,0.00120265
18,540.37,0.82879,0.50319,0.9197,0.74446,0.73352,0.78174,0.47125,1.25091,0.80472,1.16875,0.0011885,0.0011885,0.0011885
19,570.946,0.82403,0.50086,0.91817,0.81464,0.70866,0.78563,0.48361,1.24454,0.79051,1.17801,0.00117435,0.00117435,0.00117435
20,601.535,0.80162,0.49279,0.91658,0.83877,0.76304,0.82203,0.50346,1.26204,0.72698,1.18715,0.00116021,0.00116021,0.00116021
21,632.218,0.80809,0.48949,0.91334,0.81206,0.78668,0.82479,0.49485,1.27119,0.72235,1.19419,0.00114606,0.00114606,0.00114606
22,662.756,0.79635,0.47955,0.90921,0.81638,0.75306,0.80849,0.48991,1.25285,0.71599,1.16462,0.00113191,0.00113191,0.00113191
23,693.074,0.78675,0.4767,0.9132,0.83439,0.76597,0.82849,0.51071,1.21586,0.69405,1.13931,0.00111776,0.00111776,0.00111776
24,723.763,0.76111,0.46459,0.9036,0.8321,0.80611,0.85092,0.51536,1.22713,0.67174,1.16478,0.00110362,0.00110362,0.00110362
25,754.41,0.7617,0.45855,0.90286,0.81284,0.77626,0.83,0.51692,1.20276,0.70557,1.14534,0.00108947,0.00108947,0.00108947
26,784.835,0.75264,0.46166,0.90135,0.80398,0.78387,0.83002,0.51402,1.23341,0.70301,1.15957,0.00107532,0.00107532,0.00107532
27,815.333,0.75236,0.45075,0.90409,0.82116,0.79539,0.83373,0.51102,1.2169,0.689,1.14843,0.00106118,0.00106118,0.00106118
28,845.679,0.73542,0.43993,0.8957,0.83777,0.78927,0.84024,0.51625,1.22242,0.65959,1.13957,0.00104703,0.00104703,0.00104703
29,876.126,0.73113,0.43839,0.90089,0.84085,0.77385,0.8355,0.52235,1.21033,0.66931,1.14824,0.00103288,0.00103288,0.00103288
30,906.906,0.72383,0.43318,0.89779,0.84137,0.75513,0.82199,0.5117,1.21364,0.69952,1.1352,0.00101873,0.00101873,0.00101873
31,937.37,0.71817,0.43425,0.89609,0.84184,0.77341,0.8388,0.5225,1.18646,0.66159,1.1404,0.00100459,0.00100459,0.00100459
32,968.145,0.70602,0.42956,0.89794,0.83657,0.7835,0.83495,0.51012,1.25561,0.69202,1.20967,0.00099044,0.00099044,0.00099044
33,998.493,0.69941,0.42489,0.89192,0.83509,0.79638,0.85207,0.51811,1.23615,0.64891,1.18528,0.000976293,0.000976293,0.000976293
34,1029.08,0.70275,0.4242,0.89091,0.83498,0.79285,0.8534,0.52579,1.20025,0.64737,1.15212,0.000962146,0.000962146,0.000962146
35,1059.78,0.69216,0.41681,0.8904,0.82921,0.78491,0.84612,0.5337,1.17039,0.6385,1.12766,0.000947999,0.000947999,0.000947999
36,1090.85,0.68898,0.40659,0.89282,0.82528,0.81061,0.8495,0.53075,1.14963,0.6471,1.1196,0.000933851,0.000933851,0.000933851
37,1121.2,0.65858,0.40062,0.88477,0.84474,0.80245,0.85153,0.52606,1.1816,0.63243,1.12993,0.000919704,0.000919704,0.000919704
38,1151.57,0.67243,0.40134,0.88894,0.80709,0.79874,0.84319,0.51992,1.18072,0.64818,1.11674,0.000905557,0.000905557,0.000905557
39,1182.07,0.66086,0.39426,0.88264,0.83663,0.78742,0.84508,0.52763,1.19578,0.64972,1.15667,0.00089141,0.00089141,0.00089141
40,1212.63,0.66018,0.39716,0.88516,0.87454,0.75589,0.83666,0.52256,1.1841,0.63921,1.12546,0.000877263,0.000877263,0.000877263
41,1243.09,0.65216,0.39136,0.88117,0.86798,0.78619,0.85239,0.52923,1.18842,0.63432,1.15742,0.000863116,0.000863116,0.000863116
42,1273.48,0.64612,0.38862,0.88059,0.81694,0.81405,0.84954,0.51821,1.18749,0.67592,1.16112,0.000848969,0.000848969,0.000848969
43,1303.91,0.65666,0.3965,0.88731,0.84811,0.80769,0.85815,0.53171,1.12874,0.60921,1.10231,0.000834822,0.000834822,0.000834822
44,1334.31,0.63097,0.38308,0.87547,0.843,0.82152,0.86429,0.54713,1.12901,0.6037,1.10024,0.000820675,0.000820675,0.000820675
45,1365.01,0.63543,0.38564,0.87812,0.8131,0.82614,0.8564,0.53692,1.12599,0.61779,1.1035,0.000806528,0.000806528,0.000806528
46,1395.53,0.63332,0.38454,0.87982,0.84534,0.77543,0.8463,0.53012,1.14653,0.64676,1.11052,0.00079238,0.00079238,0.00079238
47,1425.84,0.61502,0.36928,0.87789,0.86088,0.79131,0.85507,0.53864,1.14493,0.59609,1.11094,0.000778233,0.000778233,0.000778233
48,1456.33,0.63167,0.37218,0.88212,0.86892,0.79394,0.85587,0.54027,1.14896,0.60777,1.12728,0.000764086,0.000764086,0.000764086
49,1486.88,0.61348,0.36995,0.87685,0.83934,0.81967,0.85955,0.54215,1.13989,0.60895,1.13365,0.000749939,0.000749939,0.000749939
50,1517.46,0.60727,0.36215,0.87382,0.83176,0.8195,0.86204,0.53975,1.14098,0.59833,1.1191,0.000735792,0.000735792,0.000735792
51,1547.99,0.61063,0.36824,0.87191,0.80178,0.77219,0.83291,0.52688,1.13762,0.63541,1.10197,0.000721645,0.000721645,0.000721645
52,1578.42,0.6116,0.36457,0.87707,0.82808,0.82431,0.85766,0.53959,1.14543,0.59146,1.11738,0.000707498,0.000707498,0.000707498
53,1609.02,0.59733,0.36005,0.87504,0.86302,0.78515,0.85982,0.55085,1.11846,0.59165,1.10563,0.000693351,0.000693351,0.000693351
54,1639.83,0.59418,0.35648,0.87342,0.84827,0.80647,0.85838,0.54975,1.1233,0.58718,1.11861,0.000679204,0.000679204,0.000679204
55,1670.53,0.58924,0.35142,0.87159,0.83878,0.83213,0.86493,0.55562,1.11825,0.58443,1.11953,0.000665057,0.000665057,0.000665057
56,1701.22,0.5824,0.34782,0.87365,0.83713,0.8156,0.8582,0.54924,1.11646,0.59621,1.11464,0.000650909,0.000650909,0.000650909
57,1731.88,0.57676,0.34957,0.86485,0.78257,0.8139,0.83627,0.54092,1.11062,0.63179,1.10086,0.000636762,0.000636762,0.000636762
58,1762.58,0.57336,0.33767,0.86648,0.83039,0.82781,0.8614,0.55593,1.11082,0.58701,1.10852,0.000622615,0.000622615,0.000622615
59,1793.21,0.57289,0.33757,0.86689,0.84259,0.81136,0.86775,0.55771,1.10977,0.59048,1.09362,0.000608468,0.000608468,0.000608468
60,1824.08,0.56192,0.33738,0.86564,0.8523,0.82289,0.87027,0.55355,1.12577,0.57775,1.10504,0.000594321,0.000594321,0.000594321
61,1854.6,0.56091,0.33766,0.86822,0.81665,0.83528,0.87157,0.55584,1.10666,0.56697,1.08741,0.000580174,0.000580174,0.000580174
62,1885.13,0.55731,0.3294,0.8657,0.82951,0.83568,0.87297,0.55669,1.10797,0.58153,1.10081,0.000566027,0.000566027,0.000566027
63,1915.55,0.55395,0.32735,0.86165,0.85538,0.84649,0.87295,0.55908,1.09181,0.56526,1.09502,0.00055188,0.00055188,0.00055188
64,1946.3,0.56656,0.33712,0.86734,0.83958,0.82206,0.8712,0.55672,1.09848,0.57376,1.08327,0.000537733,0.000537733,0.000537733
65,1976.78,0.54731,0.33402,0.86321,0.86649,0.82269,0.87835,0.5643,1.0974,0.55704,1.08645,0.000523586,0.000523586,0.000523586
66,2007.46,0.54142,0.32363,0.86534,0.87891,0.80436,0.8769,0.56566,1.10351,0.56777,1.09335,0.000509438,0.000509438,0.000509438
67,2038.35,0.53745,0.3185,0.8643,0.86521,0.81924,0.87516,0.56732,1.09095,0.57051,1.09622,0.000495291,0.000495291,0.000495291
68,2069.26,0.53548,0.31916,0.8596,0.85089,0.83183,0.88056,0.56169,1.08884,0.56231,1.08527,0.000481144,0.000481144,0.000481144
69,2099.85,0.53431,0.31948,0.86121,0.85112,0.835,0.8819,0.56339,1.09229,0.56082,1.0772,0.000466997,0.000466997,0.000466997
70,2130.2,0.52298,0.3144,0.86095,0.84662,0.83338,0.88111,0.56176,1.08386,0.56376,1.07292,0.00045285,0.00045285,0.00045285
71,2160.61,0.53165,0.31663,0.86117,0.85566,0.83107,0.87728,0.569,1.07169,0.56222,1.07724,0.000438703,0.000438703,0.000438703
72,2191.46,0.5239,0.3082,0.86253,0.8484,0.84954,0.88418,0.56876,1.0779,0.54628,1.07463,0.000424556,0.000424556,0.000424556
73,2222.43,0.51785,0.30691,0.85902,0.86751,0.84092,0.89066,0.57158,1.07884,0.54683,1.07197,0.000410409,0.000410409,0.000410409
74,2253.32,0.51442,0.30504,0.86046,0.87327,0.81807,0.8817,0.56729,1.08153,0.55061,1.08609,0.000396262,0.000396262,0.000396262
75,2283.64,0.51627,0.30457,0.85861,0.85604,0.84962,0.88145,0.56845,1.08119,0.54971,1.0814,0.000382115,0.000382115,0.000382115
76,2313.89,0.51308,0.30063,0.86269,0.87505,0.83625,0.89066,0.57587,1.07707,0.54873,1.08104,0.000367967,0.000367967,0.000367967
77,2344.77,0.49726,0.29495,0.85507,0.85194,0.84492,0.88338,0.56759,1.08469,0.54949,1.09076,0.00035382,0.00035382,0.00035382
78,2375.33,0.50707,0.29929,0.85952,0.85215,0.85539,0.88677,0.57509,1.06594,0.54196,1.0694,0.000339673,0.000339673,0.000339673
79,2405.92,0.49841,0.29603,0.85512,0.87198,0.8448,0.88676,0.57645,1.06929,0.53809,1.07268,0.000325526,0.000325526,0.000325526
80,2436.8,0.49161,0.29045,0.85483,0.84495,0.83666,0.8761,0.57063,1.07337,0.56142,1.08436,0.000311379,0.000311379,0.000311379
81,2467.25,0.48544,0.28626,0.85103,0.86051,0.84416,0.88358,0.57287,1.06901,0.54368,1.07544,0.000297232,0.000297232,0.000297232
82,2497.69,0.48665,0.28443,0.85453,0.85275,0.86442,0.88756,0.57377,1.06915,0.5453,1.07515,0.000283085,0.000283085,0.000283085
83,2528.35,0.48709,0.2872,0.85441,0.86859,0.85587,0.8913,0.57884,1.06938,0.53817,1.07292,0.000268938,0.000268938,0.000268938
84,2559.09,0.48085,0.28199,0.8543,0.8644,0.85058,0.89047,0.57806,1.06742,0.53616,1.07725,0.000254791,0.000254791,0.000254791
85,2589.6,0.47184,0.27608,0.84677,0.8486,0.85849,0.88915,0.57484,1.07585,0.54024,1.08397,0.000240644,0.000240644,0.000240644
86,2619.99,0.47324,0.27668,0.84778,0.85667,0.85901,0.89503,0.58109,1.06526,0.53196,1.07054,0.000226497,0.000226497,0.000226497
87,2650.74,0.47759,0.27926,0.85121,0.85779,0.85788,0.89197,0.57916,1.0716,0.53201,1.08347,0.000212349,0.000212349,0.000212349
88,2681.24,0.46267,0.27177,0.84673,0.86161,0.8503,0.89126,0.57757,1.07344,0.53485,1.07639,0.000198202,0.000198202,0.000198202
89,2711.54,0.46236,0.26871,0.8469,0.87551,0.83634,0.88779,0.57399,1.07624,0.53935,1.07934,0.000184055,0.000184055,0.000184055
90,2741.88,0.46721,0.2719,0.85164,0.87384,0.85321,0.89417,0.58388,1.06505,0.53591,1.07505,0.000169908,0.000169908,0.000169908
91,2773.69,0.85878,0.45988,1.00902,0.8671,0.85956,0.89608,0.58981,1.04048,0.51647,1.05448,0.000155761,0.000155761,0.000155761
92,2804.73,0.84463,0.43499,0.99844,0.88039,0.84801,0.90098,0.5927,1.04396,0.50414,1.05405,0.000141614,0.000141614,0.000141614
93,2835.61,0.82678,0.4248,0.98936,0.87007,0.85802,0.9004,0.59204,1.04141,0.5053,1.05173,0.000127467,0.000127467,0.000127467
94,2866.05,0.8276,0.42637,0.99207,0.87592,0.85085,0.89927,0.5933,1.03482,0.50397,1.04749,0.00011332,0.00011332,0.00011332
95,2896.87,0.80812,0.41541,0.97872,0.87161,0.86013,0.90081,0.59722,1.03071,0.50213,1.04695,9.91726e-05,9.91726e-05,9.91726e-05
96,2927.65,0.80406,0.40852,0.97997,0.86719,0.86825,0.90143,0.59816,1.0286,0.49335,1.04652,8.50255e-05,8.50255e-05,8.50255e-05
97,2958.44,0.79692,0.40722,0.97375,0.8704,0.86502,0.90201,0.59907,1.02514,0.49398,1.04394,7.08784e-05,7.08784e-05,7.08784e-05
98,2989.08,0.7891,0.39889,0.97217,0.87808,0.8593,0.90365,0.60176,1.0254,0.49318,1.04326,5.67313e-05,5.67313e-05,5.67313e-05
99,3019.78,0.78573,0.39661,0.96891,0.87456,0.87291,0.90739,0.60232,1.0261,0.49507,1.04473,4.25842e-05,4.25842e-05,4.25842e-05
100,3050.63,0.77839,0.39364,0.969,0.88278,0.85571,0.90881,0.60416,1.02412,0.49275,1.04295,2.84371e-05,2.84371e-05,2.84371e-05
